NM_000014	A2MG_HUMAN	P01023
NM_000137	FAAA_HUMAN	P16930
NM_000138	FBN1_HUMAN	P35555
NM_000139	FCERB_HUMAN	Q01362
NM_000143	FUMH_HUMAN	P07954
NM_000145	A0A0A0MSC5_HUMAN	A0A0A0MSC5
NM_000146	FRIL_HUMAN	P02792
NM_000147	FUCO_HUMAN	P04066
NM_000148	FUT1_HUMAN	P19526
NM_000148	Q6IZA2_HUMAN	Q6IZA2
NM_000153	A0A0A0MQV0_HUMAN	A0A0A0MQV0
NM_000154	GALK1_HUMAN	P51570
NM_000154	V9HWE7_HUMAN	V9HWE7
NM_000156	V9HWB2_HUMAN	V9HWB2
NM_000158	GLGB_HUMAN	Q04446
NM_000158	Q59ET0_HUMAN	Q59ET0
NM_000159	A0A024R7F9_HUMAN	A0A024R7F9
NM_000160	GLR_HUMAN	P47871
NM_000162	Q53Y25_HUMAN	Q53Y25
NM_000164	GIPR_HUMAN	P48546
NM_000165	CXA1_HUMAN	P17302
NM_000168	GLI3_HUMAN	P10071
NM_000169	AGAL_HUMAN	P06280
NM_000169	Q53Y83_HUMAN	Q53Y83
NM_000170	GCSP_HUMAN	P23378
NM_000173	L7UYB8_HUMAN	L7UYB8
NM_000173	GP1BA_HUMAN	P07359
NM_000174	GPIX_HUMAN	P14770
NM_000178	GSHB_HUMAN	P48637
NM_000178	V9HWJ1_HUMAN	V9HWJ1
NM_000179	Q3SWU9_HUMAN	Q3SWU9
NM_000180	GUC2D_HUMAN	Q02846
NM_000182	E9KL44_HUMAN	E9KL44
NM_000182	ECHA_HUMAN	P40939
NM_000184	D9YZU9_HUMAN	D9YZU9
NM_000184	HBG2_HUMAN	P69892
NM_000185	HEP2_HUMAN	P05546
NM_000185	Q8IVC0_HUMAN	Q8IVC0
NM_000186	A0A024R962_HUMAN	A0A024R962
NM_000186	CFAH_HUMAN	P08603
NM_000187	HGD_HUMAN	Q93099
NM_000188	A8K7J7_HUMAN	A8K7J7
NM_000188	Q59FD4_HUMAN	Q59FD4
NM_000189	HXK2_HUMAN	P52789
NM_000193	SHH_HUMAN	Q15465
NM_000194	HPRT_HUMAN	P00492
NM_000195	Q658M9_HUMAN	Q658M9
NM_000196	DHI2_HUMAN	P80365
NM_000197	DHB3_HUMAN	P37058
NM_000197	Q6FH62_HUMAN	Q6FH62
NM_000199	SPHM_HUMAN	P51688
NM_000200	HIS3_HUMAN	P15516
NM_000201	ICAM1_HUMAN	P05362
NM_000203	IDUA_HUMAN	P35475
NM_000204	A8K3L0_HUMAN	A8K3L0
NM_000204	CFAI_HUMAN	P05156
NM_000206	IL2RG_HUMAN	P31785
NM_000209	PDX1_HUMAN	P52945
NM_000212	ITB3_HUMAN	P05106
NM_000213	A0A024R8T0_HUMAN	A0A024R8T0
NM_000214	JAG1_HUMAN	P78504
NM_000214	Q99740_HUMAN	Q99740
NM_000215	A0A024R7M7_HUMAN	A0A024R7M7
NM_000215	JAK3_HUMAN	P52333
NM_000216	KALM_HUMAN	P23352
NM_000217	KCNA1_HUMAN	Q09470
NM_000218	Q96AI9_HUMAN	Q96AI9
NM_000219	Q6FHJ6_HUMAN	Q6FHJ6
NM_000220	A8K432_HUMAN	A8K432
NM_000222	A0A024RDA0_HUMAN	A0A024RDA0
NM_000223	K1C12_HUMAN	Q99456
NM_000226	K1C9_HUMAN	P35527
NM_000227	A0A0A6YYF2_HUMAN	A0A0A6YYF2
NM_000229	LCAT_HUMAN	P04180
NM_000230	A4D0Y8_HUMAN	A4D0Y8
NM_000230	LEP_HUMAN	P41159
NM_000231	SGCG_HUMAN	Q13326
NM_000232	SGCB_HUMAN	Q16585
NM_000232	Q5U0N0_HUMAN	Q5U0N0
NM_000233	LSHR_HUMAN	P22888
NM_000236	A6H8L5_HUMAN	A6H8L5
NM_000236	LIPC_HUMAN	P11150
NM_000237	LIPL_HUMAN	P06858
NM_000238	A0A090N8Q0_HUMAN	A0A090N8Q0
NM_000239	B2R4C5_HUMAN	B2R4C5
NM_000239	LYSC_HUMAN	P61626
NM_000240	Q53YE7_HUMAN	Q53YE7
NM_000242	MBL2_HUMAN	P11226
NM_000245	A0A024R759_HUMAN	A0A024R759
NM_000246	A0A0B4J1S1_HUMAN	A0A0B4J1S1
NM_000246	Q66X48_HUMAN	Q66X48
NM_000247	MICA_HUMAN	Q29983
NM_000250	PERM_HUMAN	P05164
NM_000252	A0A024RC06_HUMAN	A0A024RC06
NM_000252	MTM1_HUMAN	Q13496
NM_000255	A0A024RD82_HUMAN	A0A024RD82
NM_000255	B2R6K1_HUMAN	B2R6K1
NM_000255	MUTA_HUMAN	P22033
NM_000256	A5YM48_HUMAN	A5YM48
NM_000256	MYPC3_HUMAN	Q14896
NM_000257	MYH7_HUMAN	P12883
NM_000258	A0A024R2Q5_HUMAN	A0A024R2Q5
NM_000258	MYL3_HUMAN	P08590
NM_000259	Q9UES4_HUMAN	Q9UES4
NM_000259	MYO5A_HUMAN	Q9Y4I1
NM_000261	MYOC_HUMAN	Q99972
NM_000262	A0A024R1Q5_HUMAN	A0A024R1Q5
NM_000262	NAGAB_HUMAN	P17050
NM_000263	ANAG_HUMAN	P54802
NM_000265	NCF1_HUMAN	P14598
NM_000266	NDP_HUMAN	Q00604
NM_000268	A0A024R1J8_HUMAN	A0A024R1J8
NM_000270	PNPH_HUMAN	P00491
NM_000270	V9HWH6_HUMAN	V9HWH6
NM_000271	NPC1_HUMAN	O15118
NM_000273	GP143_HUMAN	P51810
NM_000277	A0A024RBG4_HUMAN	A0A024RBG4
NM_000277	PH4H_HUMAN	P00439
NM_000284	A0A024RBX9_HUMAN	A0A024RBX9
NM_000286	PEX12_HUMAN	O00623
NM_000287	A0A024RD09_HUMAN	A0A024RD09
NM_000287	PEX6_HUMAN	Q13608
NM_000288	PEX7_HUMAN	O00628
NM_000288	Q6FGN1_HUMAN	Q6FGN1
NM_000290	PGAM2_HUMAN	P15259
NM_000291	PGK1_HUMAN	P00558
NM_000291	V9HWF4_HUMAN	V9HWF4
NM_000292	KPB2_HUMAN	P46019
NM_000297	PKD2_HUMAN	Q13563
NM_000297	Q9UEU6_HUMAN	Q9UEU6
NM_000301	PLMN_HUMAN	P00747
NM_000302	A0A024R4H0_HUMAN	A0A024R4H0
NM_000302	PLOD1_HUMAN	Q02809
NM_000303	PMM2_HUMAN	O15305
NM_000303	Q59F02_HUMAN	Q59F02
NM_000305	PON2_HUMAN	Q15165
NM_000307	PO3F4_HUMAN	P49335
NM_000308	X6R8A1_HUMAN	X6R8A1
NM_000312	PROC_HUMAN	P04070
NM_000313	PROS_HUMAN	P07225
NM_000314	F6KD01_HUMAN	F6KD01
NM_000315	PTHY_HUMAN	P01270
NM_000317	PTPS_HUMAN	Q03393
NM_000321	A0A024RDV3_HUMAN	A0A024RDV3
NM_000321	RB_HUMAN	P06400
NM_000322	PRPH2_HUMAN	P23942
NM_000324	RHAG_HUMAN	Q02094
NM_000324	Q96E98_HUMAN	Q96E98
NM_000326	RLBP1_HUMAN	P12271
NM_000327	ROM1_HUMAN	Q03395
NM_000329	RPE65_HUMAN	Q16518
NM_000330	XLRS1_HUMAN	O15537
NM_000333	Q9UPD8_HUMAN	Q9UPD8
NM_000334	SCN4A_HUMAN	P35499
NM_000336	B2R812_HUMAN	B2R812
NM_000336	SCNNB_HUMAN	P51168
NM_000338	Q8IUN5_HUMAN	Q8IUN5
NM_000341	SLC31_HUMAN	Q07837
NM_000342	B3AT_HUMAN	P02730
NM_000346	SOX9_HUMAN	P48436
NM_000348	S5A2_HUMAN	P31213
NM_000349	STAR_HUMAN	P49675
NM_000349	Q6IBK0_HUMAN	Q6IBK0
NM_000350	ABCA4_HUMAN	P78363
NM_000350	Q6AI28_HUMAN	Q6AI28
NM_000351	STS_HUMAN	P08842
NM_000353	ATTY_HUMAN	P17735
NM_000354	THBG_HUMAN	P05543
NM_000358	BGH3_HUMAN	Q15582
NM_000359	TGM1_HUMAN	P22735
NM_000361	TRBM_HUMAN	P07204
NM_000362	TIMP3_HUMAN	P35625
NM_000363	TNNI3_HUMAN	P19429
NM_000363	Q6FGX2_HUMAN	Q6FGX2
NM_000365	Q53HE2_HUMAN	Q53HE2
NM_000365	V9HWK1_HUMAN	V9HWK1
NM_000367	A0A024QZW0_HUMAN	A0A024QZW0
NM_000367	TPMT_HUMAN	P51580
NM_000368	Q86WV8_HUMAN	Q86WV8
NM_000368	X5D9D2_HUMAN	X5D9D2
NM_000369	A0A0A0MTJ0_HUMAN	A0A0A0MTJ0
NM_000370	TTPA_HUMAN	P49638
NM_000371	E9KL36_HUMAN	E9KL36
NM_000371	TTHY_HUMAN	P02766
NM_000372	L8B082_HUMAN	L8B082
NM_000372	TYRO_HUMAN	P14679
NM_000373	A8K5J1_HUMAN	A8K5J1
NM_000373	UMPS_HUMAN	P11172
NM_000374	DCUP_HUMAN	P06132
NM_000375	HEM4_HUMAN	P10746
NM_000377	A0A024QYX8_HUMAN	A0A024QYX8
NM_000377	WASP_HUMAN	P42768
NM_000379	XDH_HUMAN	P47989
NM_000380	XPA_HUMAN	P23025
NM_000383	AIRE_HUMAN	O43918
NM_000384	APOB_HUMAN	P04114
NM_000384	Q59HB3_HUMAN	Q59HB3
NM_000384	Q7Z7Q0_HUMAN	Q7Z7Q0
NM_000386	BLMH_HUMAN	Q13867
NM_000387	MCAT_HUMAN	O43772
NM_000391	TPP1_HUMAN	O14773
NM_000392	MRP2_HUMAN	Q92887
NM_000393	CO5A2_HUMAN	P05997
NM_000394	CRYAA_HUMAN	P02489
NM_000395	IL3RB_HUMAN	P32927
NM_000395	Q6NSJ8_HUMAN	Q6NSJ8
NM_000396	CATK_HUMAN	P43235
NM_000397	CY24B_HUMAN	P04839
NM_000405	SAP3_HUMAN	P17900
NM_000407	GP1BB_HUMAN	P13224
NM_000409	GUC1A_HUMAN	P43080
NM_000412	HRG_HUMAN	P04196
NM_000413	DHB1_HUMAN	P14061
NM_000415	A0A024RAU1_HUMAN	A0A024RAU1
NM_000415	IAPP_HUMAN	P10997
NM_000416	INGR1_HUMAN	P15260
NM_000419	ITA2B_HUMAN	P08514
NM_000420	A0A077QP03_HUMAN	A0A077QP03
NM_000420	KELL_HUMAN	P23276
NM_000421	K1C10_HUMAN	P13645
NM_000422	K1C17_HUMAN	Q04695
NM_000422	Q14666_HUMAN	Q14666
NM_000423	K22E_HUMAN	P35908
NM_000424	K2C5_HUMAN	P13647
NM_000427	LORI_HUMAN	P23490
NM_000428	LTBP2_HUMAN	Q14767
NM_000429	METK1_HUMAN	Q00266
NM_000430	LIS1_HUMAN	P43034
NM_000432	MLRV_HUMAN	P10916
NM_000432	Q6IB42_HUMAN	Q6IB42
NM_000434	Q5JQI0_HUMAN	Q5JQI0
NM_000434	NEUR1_HUMAN	Q99519
NM_000435	NOTC3_HUMAN	Q9UM47
NM_000436	A0A024R040_HUMAN	A0A024R040
NM_000436	SCOT1_HUMAN	P55809
NM_000437	PAFA2_HUMAN	Q99487
NM_000440	PDE6A_HUMAN	P16499
NM_000441	S26A4_HUMAN	O43511
NM_000442	A0A075B738_HUMAN	A0A075B738
NM_000442	PECA1_HUMAN	P16284
NM_000446	PON1_HUMAN	P27169
NM_000448	RAG1_HUMAN	P15918
NM_000450	LYAM2_HUMAN	P16581
NM_000451	A0A024R385_HUMAN	A0A024R385
NM_000452	NTCP2_HUMAN	Q12908
NM_000453	SC5A5_HUMAN	Q92911
NM_000454	SODC_HUMAN	P00441
NM_000454	V9HWC9_HUMAN	V9HWC9
NM_000455	STK11_HUMAN	Q15831
NM_000458	Q6FHW6_HUMAN	Q6FHW6
NM_000459	Q59HG2_HUMAN	Q59HG2
NM_000463	UD11_HUMAN	P22309
NM_000463	Q5DT03_HUMAN	Q5DT03
NM_000474	TWST1_HUMAN	Q15672
NM_000475	F1D8P4_HUMAN	F1D8P4
NM_000475	NR0B1_HUMAN	P51843
NM_000476	KAD1_HUMAN	P00568
NM_000476	Q6FGX9_HUMAN	Q6FGX9
NM_000477	ALBU_HUMAN	P02768
NM_000478	A0A024RAG0_HUMAN	A0A024RAG0
NM_000479	MIS_HUMAN	P03971
NM_000481	A0A024R2U7_HUMAN	A0A024R2U7
NM_000483	A0A024R0T9_HUMAN	A0A024R0T9
NM_000483	APOC2_HUMAN	P02655
NM_000486	AQP2_HUMAN	P41181
NM_000487	B4DVI5_HUMAN	B4DVI5
NM_000488	A0A024R944_HUMAN	A0A024R944
NM_000488	ANT3_HUMAN	P01008
NM_000489	A4LAA3_HUMAN	A4LAA3
NM_000489	B4DLW1_HUMAN	B4DLW1
NM_000490	NEU2_HUMAN	P01185
NM_000490	X5DQP6_HUMAN	X5DQP6
NM_000491	A0A024RAB9_HUMAN	A0A024RAB9
NM_000491	C1QB_HUMAN	P02746
NM_000492	A0A024R730_HUMAN	A0A024R730
NM_000492	CFTR_HUMAN	P13569
NM_000493	COAA1_HUMAN	Q03692
NM_000494	COHA1_HUMAN	Q9UMD9
NM_000496	CRBB2_HUMAN	P43320
NM_000496	R4UMM2_HUMAN	R4UMM2
NM_000497	Q8TDD0_HUMAN	Q8TDD0
NM_000498	C11B2_HUMAN	P19099
NM_000499	A0N0X8_HUMAN	A0N0X8
NM_000499	CP1A1_HUMAN	P04798
NM_000500	Q16874_HUMAN	Q16874
NM_000502	PERE_HUMAN	P11678
NM_000504	FA10_HUMAN	P00742
NM_000504	Q5JVE7_HUMAN	Q5JVE7
NM_000505	FA12_HUMAN	P00748
NM_000505	Q8IZZ5_HUMAN	Q8IZZ5
NM_000506	THRB_HUMAN	P00734
NM_000512	GALNS_HUMAN	P34059
NM_000512	Q96I49_HUMAN	Q96I49
NM_000515	B1A4G6_HUMAN	B1A4G6
NM_000518	D9YZU5_HUMAN	D9YZU5
NM_000518	HBB_HUMAN	P68871
NM_000519	A0N071_HUMAN	A0N071
NM_000519	HBD_HUMAN	P02042
NM_000520	HEXA_HUMAN	P06865
NM_000521	A0A024RAJ6_HUMAN	A0A024RAJ6
NM_000522	HXA13_HUMAN	P31271
NM_000522	Q6DI00_HUMAN	Q6DI00
NM_000523	HXD13_HUMAN	P35453
NM_000524	A8K5W4_HUMAN	A8K5W4
NM_000524	5HT1A_HUMAN	P08908
NM_000524	Q5ZGX3_HUMAN	Q5ZGX3
NM_000525	B2RC52_HUMAN	B2RC52
NM_000526	K1C14_HUMAN	P02533
NM_000527	A0A024R7D5_HUMAN	A0A024R7D5
NM_000530	MYP0_HUMAN	P25189
NM_000531	OTC_HUMAN	P00480
NM_000535	PMS2_HUMAN	P54278
NM_000537	RENI_HUMAN	P00797
NM_000538	RFXAP_HUMAN	O00287
NM_000539	OPSD_HUMAN	P08100
NM_000541	ARRS_HUMAN	P10523
NM_000544	X5CMH5_HUMAN	X5CMH5
NM_000550	TYRP1_HUMAN	P17643
NM_000551	A0A024R2F2_HUMAN	A0A024R2F2
NM_000552	VWF_HUMAN	P04275
NM_000553	WRN_HUMAN	Q14191
NM_000553	Q59F09_HUMAN	Q59F09
NM_000554	CRX_HUMAN	O43186
NM_000557	F1T0J1_HUMAN	F1T0J1
NM_000557	GDF5_HUMAN	P43026
NM_000517	D1MGQ2_HUMAN	D1MGQ2
NM_000558	D1MGQ2_HUMAN	D1MGQ2
NM_000517	HBA_HUMAN	P69905
NM_000558	HBA_HUMAN	P69905
NM_000559	D9YZU8_HUMAN	D9YZU8
NM_000559	HBG1_HUMAN	P69891
NM_000561	X5DR03_HUMAN	X5DR03
NM_000562	CO8A_HUMAN	P07357
NM_000565	A0N0L5_HUMAN	A0N0L5
NM_000566	FCGR1_HUMAN	P12314
NM_000567	CRP_HUMAN	P02741
NM_000569	M9MML0_HUMAN	M9MML0
NM_000572	IL10_HUMAN	P22301
NM_000572	Q6FGW4_HUMAN	Q6FGW4
NM_000575	IL1A_HUMAN	P01583
NM_000576	IL1B_HUMAN	P01584
NM_000578	A0A024R474_HUMAN	A0A024R474
NM_000578	NRAM1_HUMAN	P49279
NM_000582	A0A024RDE6_HUMAN	A0A024RDE6
NM_000584	A0A024RDA5_HUMAN	A0A024RDA5
NM_000584	IL8_HUMAN	P10145
NM_000586	IL2_HUMAN	P60568
NM_000586	Q0GK43_HUMAN	Q0GK43
NM_000587	CO7_HUMAN	P10643
NM_000587	Q05CI3_HUMAN	Q05CI3
NM_000588	IL3_HUMAN	P08700
NM_000589	D4HNR6_HUMAN	D4HNR6
NM_000590	IL9_HUMAN	P15248
NM_000594	TNFA_HUMAN	P01375
NM_000594	Q5STB3_HUMAN	Q5STB3
NM_000596	IBP1_HUMAN	P08833
NM_000597	IBP2_HUMAN	P18065
NM_000598	B3KPF0_HUMAN	B3KPF0
NM_000599	A0A024R433_HUMAN	A0A024R433
NM_000599	IBP5_HUMAN	P24593
NM_000600	B4DVM1_HUMAN	B4DVM1
NM_000600	IL6_HUMAN	P05231
NM_000600	Q75MH2_HUMAN	Q75MH2
NM_000602	A0A024QYT5_HUMAN	A0A024QYT5
NM_000602	PAI1_HUMAN	P05121
NM_000605	IFNA2_HUMAN	P01563
NM_000606	CO8G_HUMAN	P07360
NM_000607	A1AG1_HUMAN	P02763
NM_000608	A1AG2_HUMAN	P19652
NM_000613	HEMO_HUMAN	P02790
NM_000613	Q9BS19_HUMAN	Q9BS19
NM_000614	CNTF_HUMAN	P26441
NM_000616	CD4_HUMAN	P01730
NM_000618	Q59GC5_HUMAN	Q59GC5
NM_000618	Q5U743_HUMAN	Q5U743
NM_000619	IFNG_HUMAN	P01579
NM_000620	B3VK56_HUMAN	B3VK56
NM_000623	BKRB2_HUMAN	P30411
NM_000624	A0A024R6N9_HUMAN	A0A024R6N9
NM_000624	B4DDH1_HUMAN	B4DDH1
NM_000624	IPSP_HUMAN	P05154
NM_000625	NOS2_HUMAN	P35228
NM_000628	I10R2_HUMAN	Q08334
NM_000629	INAR1_HUMAN	P17181
NM_000633	A0A024R2B3_HUMAN	A0A024R2B3
NM_000634	CXCR1_HUMAN	P25024
NM_000637	V9HW90_HUMAN	V9HW90
NM_000638	D9ZGG2_HUMAN	D9ZGG2
NM_000638	VTNC_HUMAN	P04004
NM_000639	Q53ZZ1_HUMAN	Q53ZZ1
NM_000640	I13R2_HUMAN	Q14627
NM_000641	A8K3F7_HUMAN	A8K3F7
NM_000028	GDE_HUMAN	P35573
NM_000642	GDE_HUMAN	P35573
NM_000643	GDE_HUMAN	P35573
NM_000644	GDE_HUMAN	P35573
NM_000645	GDE_HUMAN	P35573
NM_000646	GDE_HUMAN	P35573
NM_000651	E9PDY4_HUMAN	E9PDY4
NM_000573	CR1_HUMAN	P17927
NM_000651	CR1_HUMAN	P17927
NM_000655	A0A024R8Z0_HUMAN	A0A024R8Z0
NM_000655	LYAM1_HUMAN	P14151
NM_000657	A0A024R2C4_HUMAN	A0A024R2C4
NM_000633	BCL2_HUMAN	P10415
NM_000657	BCL2_HUMAN	P10415
NM_000660	TGFB1_HUMAN	P01137
NM_000667	ADH1A_HUMAN	P07327
NM_000668	V9HW50_HUMAN	V9HW50
NM_000669	ADH1G_HUMAN	P00326
NM_000671	ADHX_HUMAN	P11766
NM_000671	Q6IRT1_HUMAN	Q6IRT1
NM_000675	B3KVQ4_HUMAN	B3KVQ4
NM_000676	AA2BR_HUMAN	P29275
NM_000677	AA3R_HUMAN	P0DMS8
NM_000678	B0ZBE0_HUMAN	B0ZBE0
NM_000678	ADA1D_HUMAN	P25100
NM_000679	ADA1B_HUMAN	P35368
NM_000681	ADA2A_HUMAN	P08913
NM_000682	A2RUS0_HUMAN	A2RUS0
NM_000682	ADA2B_HUMAN	P18089
NM_000683	ADA2C_HUMAN	P18825
NM_000683	Q4W594_HUMAN	Q4W594
NM_000684	ADRB1_HUMAN	P08588
NM_000686	AGTR2_HUMAN	P50052
NM_000689	AL1A1_HUMAN	P00352
NM_000689	V9HW83_HUMAN	V9HW83
NM_000691	Q6PKA6_HUMAN	Q6PKA6
NM_000692	AL1B1_HUMAN	P30837
NM_000693	A0A024RC95_HUMAN	A0A024RC95
NM_000696	B9EKV4_HUMAN	B9EKV4
NM_000696	AL9A1_HUMAN	P49189
NM_000697	LOX12_HUMAN	P18054
NM_000699	AMYP_HUMAN	P04746
NM_000699	Q53F26_HUMAN	Q53F26
NM_000700	ANXA1_HUMAN	P04083
NM_000700	Q5TZZ9_HUMAN	Q5TZZ9
NM_000702	AT1A2_HUMAN	P50993
NM_000704	ATP4A_HUMAN	P20648
NM_000704	Q658V6_HUMAN	Q658V6
NM_000705	ATP4B_HUMAN	P51164
NM_000706	V1AR_HUMAN	P37288
NM_000706	X5D2B0_HUMAN	X5D2B0
NM_000707	V1BR_HUMAN	P47901
NM_000709	A0A024R0K3_HUMAN	A0A024R0K3
NM_000710	BKRB1_HUMAN	P46663
NM_000713	BLVRB_HUMAN	P30043
NM_000713	V9HWI1_HUMAN	V9HWI1
NM_000715	C4BPA_HUMAN	P04003
NM_000717	CAH4_HUMAN	P22748
NM_000722	CA2D1_HUMAN	P54289
NM_000724	Q59H42_HUMAN	Q59H42
NM_000727	CCG1_HUMAN	Q06432
NM_000728	CALCB_HUMAN	P10092
NM_000730	CCKAR_HUMAN	P32238
NM_000732	B0YIY4_HUMAN	B0YIY4
NM_000733	CD3E_HUMAN	P07766
NM_000735	Q6I9S8_HUMAN	Q6I9S8
NM_000738	ACM1_HUMAN	P11229
NM_000738	Q53XZ3_HUMAN	Q53XZ3
NM_000740	A0A024R3S2_HUMAN	A0A024R3S2
NM_000740	ACM3_HUMAN	P20309
NM_000741	ACM4_HUMAN	P08173
NM_000745	ACHA5_HUMAN	P30532
NM_000747	ACHB_HUMAN	P11230
NM_000748	ACHB2_HUMAN	P17787
NM_000748	Q5SXY3_HUMAN	Q5SXY3
NM_000749	ACHB3_HUMAN	Q05901
NM_000756	CRF_HUMAN	P06850
NM_000758	CSF2_HUMAN	P04141
NM_000761	CP1A2_HUMAN	P05177
NM_000762	CP2A6_HUMAN	P11509
NM_000766	CP2AD_HUMAN	Q16696
NM_000767	CP2B6_HUMAN	P20813
NM_000769	CP2CJ_HUMAN	P33261
NM_000771	CP2C9_HUMAN	P11712
NM_000771	S5RV20_HUMAN	S5RV20
NM_000773	CP2E1_HUMAN	P05181
NM_000774	CP2F1_HUMAN	P24903
NM_000775	CP2J2_HUMAN	P51589
NM_000778	CP4AB_HUMAN	Q02928
NM_000780	CP7A1_HUMAN	P22680
NM_000784	CP27A_HUMAN	Q02318
NM_000785	CP27B_HUMAN	O15528
NM_000786	A0A0C4DFL7_HUMAN	A0A0C4DFL7
NM_000787	DOPO_HUMAN	P09172
NM_000788	F5CTF3_HUMAN	F5CTF3
NM_000788	DCK_HUMAN	P27707
NM_000789	B4DKH4_HUMAN	B4DKH4
NM_000791	B0YJ76_HUMAN	B0YJ76
NM_000793	A8K845_HUMAN	A8K845
NM_000794	DRD1_HUMAN	P21728
NM_000795	A0A024R3C5_HUMAN	A0A024R3C5
NM_000797	A0A0G2JM26_HUMAN	A0A0G2JM26
NM_000797	DRD4_HUMAN	P21917
NM_000798	DRD5_HUMAN	P21918
NM_000799	G9JKG7_HUMAN	G9JKG7
NM_000799	EPO_HUMAN	P01588
NM_000801	Q0VDC6_HUMAN	Q0VDC6
