P01023	A2MG_HUMAN	NM_000014
P19235	EPOR_HUMAN	NM_000121
P19447	ERCC3_HUMAN	NM_000122
P28715	ERCC5_HUMAN	NM_000123
Q03468	ERCC6_HUMAN	NM_000124
Q59FF6	Q59FF6_HUMAN	NM_000124
Q16394	EXT1_HUMAN	NM_000127
P03951	FA11_HUMAN	NM_000128
P00488	F13A_HUMAN	NM_000129
P12259	FA5_HUMAN	NM_000130
P00740	FA9_HUMAN	NM_000133
P12104	FABPI_HUMAN	NM_000134
P16930	FAAA_HUMAN	NM_000137
P35555	FBN1_HUMAN	NM_000138
Q01362	FCERB_HUMAN	NM_000139
P07954	FUMH_HUMAN	NM_000143
A0A0A0MSC5	A0A0A0MSC5_HUMAN	NM_000145
P02792	FRIL_HUMAN	NM_000146
P04066	FUCO_HUMAN	NM_000147
P19526	FUT1_HUMAN	NM_000148
Q6IZA2	Q6IZA2_HUMAN	NM_000148
A0A0A0MQV0	A0A0A0MQV0_HUMAN	NM_000153
P51570	GALK1_HUMAN	NM_000154
V9HWE7	V9HWE7_HUMAN	NM_000154
V9HWB2	V9HWB2_HUMAN	NM_000156
Q04446	GLGB_HUMAN	NM_000158
Q59ET0	Q59ET0_HUMAN	NM_000158
A0A024R7F9	A0A024R7F9_HUMAN	NM_000159
P47871	GLR_HUMAN	NM_000160
Q53Y25	Q53Y25_HUMAN	NM_000162
P48546	GIPR_HUMAN	NM_000164
P17302	CXA1_HUMAN	NM_000165
P10071	GLI3_HUMAN	NM_000168
P06280	AGAL_HUMAN	NM_000169
Q53Y83	Q53Y83_HUMAN	NM_000169
P23378	GCSP_HUMAN	NM_000170
L7UYB8	L7UYB8_HUMAN	NM_000173
P07359	GP1BA_HUMAN	NM_000173
P14770	GPIX_HUMAN	NM_000174
P48637	GSHB_HUMAN	NM_000178
V9HWJ1	V9HWJ1_HUMAN	NM_000178
Q3SWU9	Q3SWU9_HUMAN	NM_000179
Q02846	GUC2D_HUMAN	NM_000180
E9KL44	E9KL44_HUMAN	NM_000182
P40939	ECHA_HUMAN	NM_000182
D9YZU9	D9YZU9_HUMAN	NM_000184
P69892	HBG2_HUMAN	NM_000184
P05546	HEP2_HUMAN	NM_000185
Q8IVC0	Q8IVC0_HUMAN	NM_000185
A0A024R962	A0A024R962_HUMAN	NM_000186
P08603	CFAH_HUMAN	NM_000186
Q93099	HGD_HUMAN	NM_000187
A8K7J7	A8K7J7_HUMAN	NM_000188
Q59FD4	Q59FD4_HUMAN	NM_000188
P52789	HXK2_HUMAN	NM_000189
Q15465	SHH_HUMAN	NM_000193
P00492	HPRT_HUMAN	NM_000194
Q658M9	Q658M9_HUMAN	NM_000195
P80365	DHI2_HUMAN	NM_000196
P37058	DHB3_HUMAN	NM_000197
Q6FH62	Q6FH62_HUMAN	NM_000197
P51688	SPHM_HUMAN	NM_000199
P15516	HIS3_HUMAN	NM_000200
P05362	ICAM1_HUMAN	NM_000201
P35475	IDUA_HUMAN	NM_000203
A8K3L0	A8K3L0_HUMAN	NM_000204
P05156	CFAI_HUMAN	NM_000204
P31785	IL2RG_HUMAN	NM_000206
P52945	PDX1_HUMAN	NM_000209
P05106	ITB3_HUMAN	NM_000212
A0A024R8T0	A0A024R8T0_HUMAN	NM_000213
P78504	JAG1_HUMAN	NM_000214
Q99740	Q99740_HUMAN	NM_000214
A0A024R7M7	A0A024R7M7_HUMAN	NM_000215
P52333	JAK3_HUMAN	NM_000215
P23352	KALM_HUMAN	NM_000216
Q09470	KCNA1_HUMAN	NM_000217
Q96AI9	Q96AI9_HUMAN	NM_000218
Q6FHJ6	Q6FHJ6_HUMAN	NM_000219
A8K432	A8K432_HUMAN	NM_000220
A0A024RDA0	A0A024RDA0_HUMAN	NM_000222
Q99456	K1C12_HUMAN	NM_000223
P35527	K1C9_HUMAN	NM_000226
A0A0A6YYF2	A0A0A6YYF2_HUMAN	NM_000227
P04180	LCAT_HUMAN	NM_000229
A4D0Y8	A4D0Y8_HUMAN	NM_000230
P41159	LEP_HUMAN	NM_000230
Q13326	SGCG_HUMAN	NM_000231
Q16585	SGCB_HUMAN	NM_000232
Q5U0N0	Q5U0N0_HUMAN	NM_000232
P22888	LSHR_HUMAN	NM_000233
A6H8L5	A6H8L5_HUMAN	NM_000236
P11150	LIPC_HUMAN	NM_000236
P06858	LIPL_HUMAN	NM_000237
A0A090N8Q0	A0A090N8Q0_HUMAN	NM_000238
B2R4C5	B2R4C5_HUMAN	NM_000239
P61626	LYSC_HUMAN	NM_000239
Q53YE7	Q53YE7_HUMAN	NM_000240
P11226	MBL2_HUMAN	NM_000242
A0A024R759	A0A024R759_HUMAN	NM_000245
A0A0B4J1S1	A0A0B4J1S1_HUMAN	NM_000246
Q66X48	Q66X48_HUMAN	NM_000246
Q29983	MICA_HUMAN	NM_000247
P05164	PERM_HUMAN	NM_000250
A0A024RC06	A0A024RC06_HUMAN	NM_000252
Q13496	MTM1_HUMAN	NM_000252
A0A024RD82	A0A024RD82_HUMAN	NM_000255
B2R6K1	B2R6K1_HUMAN	NM_000255
P22033	MUTA_HUMAN	NM_000255
A5YM48	A5YM48_HUMAN	NM_000256
Q14896	MYPC3_HUMAN	NM_000256
P12883	MYH7_HUMAN	NM_000257
A0A024R2Q5	A0A024R2Q5_HUMAN	NM_000258
P08590	MYL3_HUMAN	NM_000258
Q9UES4	Q9UES4_HUMAN	NM_000259
Q9Y4I1	MYO5A_HUMAN	NM_000259
Q99972	MYOC_HUMAN	NM_000261
A0A024R1Q5	A0A024R1Q5_HUMAN	NM_000262
P17050	NAGAB_HUMAN	NM_000262
P54802	ANAG_HUMAN	NM_000263
P14598	NCF1_HUMAN	NM_000265
Q00604	NDP_HUMAN	NM_000266
A0A024R1J8	A0A024R1J8_HUMAN	NM_000268
P00491	PNPH_HUMAN	NM_000270
V9HWH6	V9HWH6_HUMAN	NM_000270
O15118	NPC1_HUMAN	NM_000271
P51810	GP143_HUMAN	NM_000273
A0A024RBG4	A0A024RBG4_HUMAN	NM_000277
P00439	PH4H_HUMAN	NM_000277
A0A024RBX9	A0A024RBX9_HUMAN	NM_000284
O00623	PEX12_HUMAN	NM_000286
A0A024RD09	A0A024RD09_HUMAN	NM_000287
Q13608	PEX6_HUMAN	NM_000287
O00628	PEX7_HUMAN	NM_000288
Q6FGN1	Q6FGN1_HUMAN	NM_000288
P15259	PGAM2_HUMAN	NM_000290
P00558	PGK1_HUMAN	NM_000291
V9HWF4	V9HWF4_HUMAN	NM_000291
P46019	KPB2_HUMAN	NM_000292
Q13563	PKD2_HUMAN	NM_000297
Q9UEU6	Q9UEU6_HUMAN	NM_000297
P00747	PLMN_HUMAN	NM_000301
A0A024R4H0	A0A024R4H0_HUMAN	NM_000302
Q02809	PLOD1_HUMAN	NM_000302
O15305	PMM2_HUMAN	NM_000303
Q59F02	Q59F02_HUMAN	NM_000303
Q15165	PON2_HUMAN	NM_000305
P49335	PO3F4_HUMAN	NM_000307
X6R8A1	X6R8A1_HUMAN	NM_000308
P04070	PROC_HUMAN	NM_000312
P07225	PROS_HUMAN	NM_000313
F6KD01	F6KD01_HUMAN	NM_000314
P01270	PTHY_HUMAN	NM_000315
Q03393	PTPS_HUMAN	NM_000317
A0A024RDV3	A0A024RDV3_HUMAN	NM_000321
P06400	RB_HUMAN	NM_000321
P23942	PRPH2_HUMAN	NM_000322
Q02094	RHAG_HUMAN	NM_000324
Q96E98	Q96E98_HUMAN	NM_000324
P12271	RLBP1_HUMAN	NM_000326
Q03395	ROM1_HUMAN	NM_000327
Q16518	RPE65_HUMAN	NM_000329
O15537	XLRS1_HUMAN	NM_000330
Q9UPD8	Q9UPD8_HUMAN	NM_000333
P35499	SCN4A_HUMAN	NM_000334
B2R812	B2R812_HUMAN	NM_000336
P51168	SCNNB_HUMAN	NM_000336
Q8IUN5	Q8IUN5_HUMAN	NM_000338
Q07837	SLC31_HUMAN	NM_000341
P02730	B3AT_HUMAN	NM_000342
P48436	SOX9_HUMAN	NM_000346
P31213	S5A2_HUMAN	NM_000348
P49675	STAR_HUMAN	NM_000349
Q6IBK0	Q6IBK0_HUMAN	NM_000349
P78363	ABCA4_HUMAN	NM_000350
Q6AI28	Q6AI28_HUMAN	NM_000350
P08842	STS_HUMAN	NM_000351
P17735	ATTY_HUMAN	NM_000353
P05543	THBG_HUMAN	NM_000354
Q15582	BGH3_HUMAN	NM_000358
P22735	TGM1_HUMAN	NM_000359
P07204	TRBM_HUMAN	NM_000361
P35625	TIMP3_HUMAN	NM_000362
P19429	TNNI3_HUMAN	NM_000363
Q6FGX2	Q6FGX2_HUMAN	NM_000363
Q53HE2	Q53HE2_HUMAN	NM_000365
V9HWK1	V9HWK1_HUMAN	NM_000365
A0A024QZW0	A0A024QZW0_HUMAN	NM_000367
P51580	TPMT_HUMAN	NM_000367
Q86WV8	Q86WV8_HUMAN	NM_000368
X5D9D2	X5D9D2_HUMAN	NM_000368
A0A0A0MTJ0	A0A0A0MTJ0_HUMAN	NM_000369
P49638	TTPA_HUMAN	NM_000370
E9KL36	E9KL36_HUMAN	NM_000371
P02766	TTHY_HUMAN	NM_000371
L8B082	L8B082_HUMAN	NM_000372
P14679	TYRO_HUMAN	NM_000372
A8K5J1	A8K5J1_HUMAN	NM_000373
P11172	UMPS_HUMAN	NM_000373
P06132	DCUP_HUMAN	NM_000374
P10746	HEM4_HUMAN	NM_000375
A0A024QYX8	A0A024QYX8_HUMAN	NM_000377
P42768	WASP_HUMAN	NM_000377
P47989	XDH_HUMAN	NM_000379
P23025	XPA_HUMAN	NM_000380
O43918	AIRE_HUMAN	NM_000383
P04114	APOB_HUMAN	NM_000384
Q59HB3	Q59HB3_HUMAN	NM_000384
Q7Z7Q0	Q7Z7Q0_HUMAN	NM_000384
Q13867	BLMH_HUMAN	NM_000386
O43772	MCAT_HUMAN	NM_000387
O14773	TPP1_HUMAN	NM_000391
Q92887	MRP2_HUMAN	NM_000392
P05997	CO5A2_HUMAN	NM_000393
P02489	CRYAA_HUMAN	NM_000394
P32927	IL3RB_HUMAN	NM_000395
Q6NSJ8	Q6NSJ8_HUMAN	NM_000395
P43235	CATK_HUMAN	NM_000396
P04839	CY24B_HUMAN	NM_000397
P17900	SAP3_HUMAN	NM_000405
P13224	GP1BB_HUMAN	NM_000407
P43080	GUC1A_HUMAN	NM_000409
P04196	HRG_HUMAN	NM_000412
P14061	DHB1_HUMAN	NM_000413
A0A024RAU1	A0A024RAU1_HUMAN	NM_000415
P10997	IAPP_HUMAN	NM_000415
P15260	INGR1_HUMAN	NM_000416
P08514	ITA2B_HUMAN	NM_000419
A0A077QP03	A0A077QP03_HUMAN	NM_000420
P23276	KELL_HUMAN	NM_000420
P13645	K1C10_HUMAN	NM_000421
Q04695	K1C17_HUMAN	NM_000422
Q14666	Q14666_HUMAN	NM_000422
P35908	K22E_HUMAN	NM_000423
P13647	K2C5_HUMAN	NM_000424
P23490	LORI_HUMAN	NM_000427
Q14767	LTBP2_HUMAN	NM_000428
Q00266	METK1_HUMAN	NM_000429
P43034	LIS1_HUMAN	NM_000430
P10916	MLRV_HUMAN	NM_000432
Q6IB42	Q6IB42_HUMAN	NM_000432
Q5JQI0	Q5JQI0_HUMAN	NM_000434
Q99519	NEUR1_HUMAN	NM_000434
Q9UM47	NOTC3_HUMAN	NM_000435
A0A024R040	A0A024R040_HUMAN	NM_000436
P55809	SCOT1_HUMAN	NM_000436
Q99487	PAFA2_HUMAN	NM_000437
P16499	PDE6A_HUMAN	NM_000440
O43511	S26A4_HUMAN	NM_000441
A0A075B738	A0A075B738_HUMAN	NM_000442
P16284	PECA1_HUMAN	NM_000442
P27169	PON1_HUMAN	NM_000446
P15918	RAG1_HUMAN	NM_000448
P16581	LYAM2_HUMAN	NM_000450
A0A024R385	A0A024R385_HUMAN	NM_000451
Q12908	NTCP2_HUMAN	NM_000452
Q92911	SC5A5_HUMAN	NM_000453
P00441	SODC_HUMAN	NM_000454
V9HWC9	V9HWC9_HUMAN	NM_000454
Q15831	STK11_HUMAN	NM_000455
Q6FHW6	Q6FHW6_HUMAN	NM_000458
Q59HG2	Q59HG2_HUMAN	NM_000459
P22309	UD11_HUMAN	NM_000463
Q5DT03	Q5DT03_HUMAN	NM_000463
Q15672	TWST1_HUMAN	NM_000474
F1D8P4	F1D8P4_HUMAN	NM_000475
P51843	NR0B1_HUMAN	NM_000475
P00568	KAD1_HUMAN	NM_000476
Q6FGX9	Q6FGX9_HUMAN	NM_000476
P02768	ALBU_HUMAN	NM_000477
A0A024RAG0	A0A024RAG0_HUMAN	NM_000478
P03971	MIS_HUMAN	NM_000479
A0A024R2U7	A0A024R2U7_HUMAN	NM_000481
A0A024R0T9	A0A024R0T9_HUMAN	NM_000483
P02655	APOC2_HUMAN	NM_000483
P41181	AQP2_HUMAN	NM_000486
B4DVI5	B4DVI5_HUMAN	NM_000487
A0A024R944	A0A024R944_HUMAN	NM_000488
P01008	ANT3_HUMAN	NM_000488
A4LAA3	A4LAA3_HUMAN	NM_000489
B4DLW1	B4DLW1_HUMAN	NM_000489
P01185	NEU2_HUMAN	NM_000490
X5DQP6	X5DQP6_HUMAN	NM_000490
A0A024RAB9	A0A024RAB9_HUMAN	NM_000491
P02746	C1QB_HUMAN	NM_000491
A0A024R730	A0A024R730_HUMAN	NM_000492
P13569	CFTR_HUMAN	NM_000492
Q03692	COAA1_HUMAN	NM_000493
Q9UMD9	COHA1_HUMAN	NM_000494
P43320	CRBB2_HUMAN	NM_000496
R4UMM2	R4UMM2_HUMAN	NM_000496
Q8TDD0	Q8TDD0_HUMAN	NM_000497
P19099	C11B2_HUMAN	NM_000498
A0N0X8	A0N0X8_HUMAN	NM_000499
P04798	CP1A1_HUMAN	NM_000499
Q16874	Q16874_HUMAN	NM_000500
P11678	PERE_HUMAN	NM_000502
P00742	FA10_HUMAN	NM_000504
Q5JVE7	Q5JVE7_HUMAN	NM_000504
P00748	FA12_HUMAN	NM_000505
Q8IZZ5	Q8IZZ5_HUMAN	NM_000505
P00734	THRB_HUMAN	NM_000506
P34059	GALNS_HUMAN	NM_000512
Q96I49	Q96I49_HUMAN	NM_000512
B1A4G6	B1A4G6_HUMAN	NM_000515
D9YZU5	D9YZU5_HUMAN	NM_000518
P68871	HBB_HUMAN	NM_000518
A0N071	A0N071_HUMAN	NM_000519
P02042	HBD_HUMAN	NM_000519
P06865	HEXA_HUMAN	NM_000520
A0A024RAJ6	A0A024RAJ6_HUMAN	NM_000521
P31271	HXA13_HUMAN	NM_000522
Q6DI00	Q6DI00_HUMAN	NM_000522
P35453	HXD13_HUMAN	NM_000523
A8K5W4	A8K5W4_HUMAN	NM_000524
P08908	5HT1A_HUMAN	NM_000524
Q5ZGX3	Q5ZGX3_HUMAN	NM_000524
B2RC52	B2RC52_HUMAN	NM_000525
P02533	K1C14_HUMAN	NM_000526
A0A024R7D5	A0A024R7D5_HUMAN	NM_000527
P25189	MYP0_HUMAN	NM_000530
P00480	OTC_HUMAN	NM_000531
P54278	PMS2_HUMAN	NM_000535
P00797	RENI_HUMAN	NM_000537
O00287	RFXAP_HUMAN	NM_000538
P08100	OPSD_HUMAN	NM_000539
P10523	ARRS_HUMAN	NM_000541
X5CMH5	X5CMH5_HUMAN	NM_000544
P17643	TYRP1_HUMAN	NM_000550
A0A024R2F2	A0A024R2F2_HUMAN	NM_000551
P04275	VWF_HUMAN	NM_000552
Q14191	WRN_HUMAN	NM_000553
Q59F09	Q59F09_HUMAN	NM_000553
O43186	CRX_HUMAN	NM_000554
F1T0J1	F1T0J1_HUMAN	NM_000557
P43026	GDF5_HUMAN	NM_000557
D1MGQ2	D1MGQ2_HUMAN	NM_000517,NM_000558
P69905	HBA_HUMAN	NM_000517,NM_000558
D9YZU8	D9YZU8_HUMAN	NM_000559
P69891	HBG1_HUMAN	NM_000559
X5DR03	X5DR03_HUMAN	NM_000561
P07357	CO8A_HUMAN	NM_000562
A0N0L5	A0N0L5_HUMAN	NM_000565
P12314	FCGR1_HUMAN	NM_000566
P02741	CRP_HUMAN	NM_000567
M9MML0	M9MML0_HUMAN	NM_000569
P22301	IL10_HUMAN	NM_000572
Q6FGW4	Q6FGW4_HUMAN	NM_000572
P01583	IL1A_HUMAN	NM_000575
P01584	IL1B_HUMAN	NM_000576
A0A024R474	A0A024R474_HUMAN	NM_000578
P49279	NRAM1_HUMAN	NM_000578
A0A024RDE6	A0A024RDE6_HUMAN	NM_000582
A0A024RDA5	A0A024RDA5_HUMAN	NM_000584
P10145	IL8_HUMAN	NM_000584
P60568	IL2_HUMAN	NM_000586
Q0GK43	Q0GK43_HUMAN	NM_000586
P10643	CO7_HUMAN	NM_000587
Q05CI3	Q05CI3_HUMAN	NM_000587
P08700	IL3_HUMAN	NM_000588
D4HNR6	D4HNR6_HUMAN	NM_000589
P15248	IL9_HUMAN	NM_000590
P01375	TNFA_HUMAN	NM_000594
Q5STB3	Q5STB3_HUMAN	NM_000594
P08833	IBP1_HUMAN	NM_000596
P18065	IBP2_HUMAN	NM_000597
B3KPF0	B3KPF0_HUMAN	NM_000598
A0A024R433	A0A024R433_HUMAN	NM_000599
P24593	IBP5_HUMAN	NM_000599
B4DVM1	B4DVM1_HUMAN	NM_000600
P05231	IL6_HUMAN	NM_000600
Q75MH2	Q75MH2_HUMAN	NM_000600
A0A024QYT5	A0A024QYT5_HUMAN	NM_000602
P05121	PAI1_HUMAN	NM_000602
P01563	IFNA2_HUMAN	NM_000605
P07360	CO8G_HUMAN	NM_000606
P02763	A1AG1_HUMAN	NM_000607
P19652	A1AG2_HUMAN	NM_000608
P02790	HEMO_HUMAN	NM_000613
Q9BS19	Q9BS19_HUMAN	NM_000613
P26441	CNTF_HUMAN	NM_000614
P01730	CD4_HUMAN	NM_000616
Q59GC5	Q59GC5_HUMAN	NM_000618
Q5U743	Q5U743_HUMAN	NM_000618
P01579	IFNG_HUMAN	NM_000619
B3VK56	B3VK56_HUMAN	NM_000620
P30411	BKRB2_HUMAN	NM_000623
A0A024R6N9	A0A024R6N9_HUMAN	NM_000624
B4DDH1	B4DDH1_HUMAN	NM_000624
P05154	IPSP_HUMAN	NM_000624
P35228	NOS2_HUMAN	NM_000625
Q08334	I10R2_HUMAN	NM_000628
P17181	INAR1_HUMAN	NM_000629
A0A024R2B3	A0A024R2B3_HUMAN	NM_000633
P25024	CXCR1_HUMAN	NM_000634
V9HW90	V9HW90_HUMAN	NM_000637
D9ZGG2	D9ZGG2_HUMAN	NM_000638
P04004	VTNC_HUMAN	NM_000638
Q53ZZ1	Q53ZZ1_HUMAN	NM_000639
Q14627	I13R2_HUMAN	NM_000640
A8K3F7	A8K3F7_HUMAN	NM_000641
P35573	GDE_HUMAN	NM_000028,NM_000642,NM_000643,NM_000644,NM_000645,NM_000646
E9PDY4	E9PDY4_HUMAN	NM_000651
P17927	CR1_HUMAN	NM_000573,NM_000651
A0A024R8Z0	A0A024R8Z0_HUMAN	NM_000655
P14151	LYAM1_HUMAN	NM_000655
A0A024R2C4	A0A024R2C4_HUMAN	NM_000657
P10415	BCL2_HUMAN	NM_000633,NM_000657
P01137	TGFB1_HUMAN	NM_000660
P07327	ADH1A_HUMAN	NM_000667
V9HW50	V9HW50_HUMAN	NM_000668
P00326	ADH1G_HUMAN	NM_000669
P11766	ADHX_HUMAN	NM_000671
Q6IRT1	Q6IRT1_HUMAN	NM_000671
B3KVQ4	B3KVQ4_HUMAN	NM_000675
P29275	AA2BR_HUMAN	NM_000676
P0DMS8	AA3R_HUMAN	NM_000677
B0ZBE0	B0ZBE0_HUMAN	NM_000678
P25100	ADA1D_HUMAN	NM_000678
P35368	ADA1B_HUMAN	NM_000679
P08913	ADA2A_HUMAN	NM_000681
A2RUS0	A2RUS0_HUMAN	NM_000682
P18089	ADA2B_HUMAN	NM_000682
P18825	ADA2C_HUMAN	NM_000683
Q4W594	Q4W594_HUMAN	NM_000683
P08588	ADRB1_HUMAN	NM_000684
P50052	AGTR2_HUMAN	NM_000686
P00352	AL1A1_HUMAN	NM_000689
V9HW83	V9HW83_HUMAN	NM_000689
Q6PKA6	Q6PKA6_HUMAN	NM_000691
P30837	AL1B1_HUMAN	NM_000692
A0A024RC95	A0A024RC95_HUMAN	NM_000693
B9EKV4	B9EKV4_HUMAN	NM_000696
P49189	AL9A1_HUMAN	NM_000696
P18054	LOX12_HUMAN	NM_000697
P04746	AMYP_HUMAN	NM_000699
Q53F26	Q53F26_HUMAN	NM_000699
P04083	ANXA1_HUMAN	NM_000700
Q5TZZ9	Q5TZZ9_HUMAN	NM_000700
P50993	AT1A2_HUMAN	NM_000702
P20648	ATP4A_HUMAN	NM_000704
Q658V6	Q658V6_HUMAN	NM_000704
P51164	ATP4B_HUMAN	NM_000705
P37288	V1AR_HUMAN	NM_000706
X5D2B0	X5D2B0_HUMAN	NM_000706
P47901	V1BR_HUMAN	NM_000707
A0A024R0K3	A0A024R0K3_HUMAN	NM_000709
P46663	BKRB1_HUMAN	NM_000710
P30043	BLVRB_HUMAN	NM_000713
V9HWI1	V9HWI1_HUMAN	NM_000713
P04003	C4BPA_HUMAN	NM_000715
P22748	CAH4_HUMAN	NM_000717
P54289	CA2D1_HUMAN	NM_000722
Q59H42	Q59H42_HUMAN	NM_000724
Q06432	CCG1_HUMAN	NM_000727
P10092	CALCB_HUMAN	NM_000728
P32238	CCKAR_HUMAN	NM_000730
B0YIY4	B0YIY4_HUMAN	NM_000732
P07766	CD3E_HUMAN	NM_000733
Q6I9S8	Q6I9S8_HUMAN	NM_000735
P11229	ACM1_HUMAN	NM_000738
Q53XZ3	Q53XZ3_HUMAN	NM_000738
A0A024R3S2	A0A024R3S2_HUMAN	NM_000740
P20309	ACM3_HUMAN	NM_000740
P08173	ACM4_HUMAN	NM_000741
P30532	ACHA5_HUMAN	NM_000745
P11230	ACHB_HUMAN	NM_000747
P17787	ACHB2_HUMAN	NM_000748
Q5SXY3	Q5SXY3_HUMAN	NM_000748
Q05901	ACHB3_HUMAN	NM_000749
P06850	CRF_HUMAN	NM_000756
P04141	CSF2_HUMAN	NM_000758
P05177	CP1A2_HUMAN	NM_000761
P11509	CP2A6_HUMAN	NM_000762
Q16696	CP2AD_HUMAN	NM_000766
P20813	CP2B6_HUMAN	NM_000767
P33261	CP2CJ_HUMAN	NM_000769
P11712	CP2C9_HUMAN	NM_000771
S5RV20	S5RV20_HUMAN	NM_000771
P05181	CP2E1_HUMAN	NM_000773
P24903	CP2F1_HUMAN	NM_000774
P51589	CP2J2_HUMAN	NM_000775
Q02928	CP4AB_HUMAN	NM_000778
P22680	CP7A1_HUMAN	NM_000780
Q02318	CP27A_HUMAN	NM_000784
O15528	CP27B_HUMAN	NM_000785
A0A0C4DFL7	A0A0C4DFL7_HUMAN	NM_000786
P09172	DOPO_HUMAN	NM_000787
F5CTF3	F5CTF3_HUMAN	NM_000788
P27707	DCK_HUMAN	NM_000788
B4DKH4	B4DKH4_HUMAN	NM_000789
B0YJ76	B0YJ76_HUMAN	NM_000791
A8K845	A8K845_HUMAN	NM_000793
P21728	DRD1_HUMAN	NM_000794
A0A024R3C5	A0A024R3C5_HUMAN	NM_000795
A0A0G2JM26	A0A0G2JM26_HUMAN	NM_000797
P21917	DRD4_HUMAN	NM_000797
P21918	DRD5_HUMAN	NM_000798
G9JKG7	G9JKG7_HUMAN	NM_000799
P01588	EPO_HUMAN	NM_000799
Q0VDC6	Q0VDC6_HUMAN	NM_000801
A0A087WXL1	A0A087WXL1_HUMAN	NM_000804
P41439	FOLR3_HUMAN	NM_000804
A0A0E3VY36	A0A0E3VY36_HUMAN	NM_000805
P01350	GAST_HUMAN	NM_000805
A8K177	A8K177_HUMAN	NM_000806
P34903	GBRA3_HUMAN	NM_000808
